Image Name,Prompt,Answer,Reason,Stay Duration,Platform,Model Name
-17_20-48-53\TikTok1.jpeg20:49:38,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The combination of what appears to be animation or gaming characters and food preparation adds a unique and fun element to the content, making it likely to be engaging and interesting to watch.",30,TikTok,GPT4o
-17_20-48-53\TikTok2.jpeg20:50:14,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The image shows a car that has been involved in a serious accident, turned upside down with significant damage. The text overlay ""my daughter called me this morning"" implies a potentially dramatic or emotional story, which could intrigue viewers and make the content interesting.",30,TikTok,GPT4o
-17_20-48-53\TikTok3.jpeg20:50:50,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The content appears to be gripping and dramatic, focusing on a serious and intense situation involving a kidnapping and a clever way of seeking help through a 911 call. This context can captivate the audience and evoke emotions, making it an interesting piece of content.",30,TikTok,GPT4o
-17_20-48-53\TikTok4.jpeg20:51:27,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. 

The image appears to show a heartfelt and intriguing storyline, suggesting that a man did something significant with children that left people in shock. The emotional and mysterious nature of the content can capture interest and provoke curiosity.",30,TikTok,GPT4o
-17_20-48-53\TikTok5.jpeg20:52:02,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The image shows a device that appears to be performing an action on an egg, suggesting a unique kitchen gadget or a cooking hack, which can be intriguing and useful for viewers interested in culinary tips or innovative tools.",30,TikTok,GPT4o
-17_20-48-53\TikTok6.jpeg20:52:37,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,Yes. This image of colorful crayons arranged in a visually appealing pattern can capture attention due to its bright colors and artistic composition. Such content is often engaging and can invoke curiosity or appreciation from viewers who enjoy creative visuals.,30,TikTok,GPT4o
-17_20-48-53\TikTok7.jpeg20:53:11,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes.

The image appears to combine elements of a text conversation with a scene from a popular video game, likely Minecraft. This blend of personal interaction and gaming content is often engaging for many viewers, particularly those who enjoy creative and humorous takes on everyday conversations within a virtual world.",30,TikTok,GPT4o
-17_20-48-53\TikTok8.jpeg20:53:47,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes.

The image features a smiling person with the date ""July 3rd, 2011"" prominently displayed. This combination suggests it might be marking a significant personal moment or a nostalgic memory. This type of content often draws viewers by evoking curiosity and emotional connection, making it interesting.",30,TikTok,GPT4o
-17_20-48-53\TikTok9.jpeg20:54:22,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes.

The image suggests a potentially engaging and humorous encounter between a sheriff and a grandma, titled ""Sheriff's Interactions: Grandma vs Sheriff Pt. 1."" This setup hints at a confrontational or comedic interaction, which could be entertaining and appealing to watch.",30,TikTok,GPT4o
-17_20-48-53\TikTok10.jpeg20:54:58,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes.

The image shows a newborn baby, which often draws interest due to the emotional and heartwarming nature of such content. The text ""NEWBORN RECEIVES NO"" may intrigue viewers, making them curious about the context and story behind the phrase. This combination can make the content appealing and worth watching.",30,TikTok,GPT4o
-17_20-48-53\TikTok11.jpeg20:55:33,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes.

The image displays someone wrapped in what appears to be a fluffy blanket and looking directly into the camera, suggesting a cozy or comforting theme. This kind of content can attract viewers who are interested in lifestyle, comfort, or possibly ASMR videos. The text ""MY"" also looks like part of a statement, which might pique curiosity about the rest of the message or the video's context.",30,TikTok,GPT4o
-17_20-48-53\TikTok12.jpeg20:56:09,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes. The image appears to show a unique process of applying a material, potentially involving a smell test, which might be intriguing and engaging for those curious about such processes.",30,TikTok,GPT4o
-17_20-48-53\TikTok13.jpeg20:56:44,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"The image shows two individuals on a motorcycle with the text ""Backpacking my bf for the first time."" This implies it could be an exciting or adventurous first-time experience, likely featuring a motorcycle ride. Such content typically appeals to those interested in adventure, relationships, and first-time experiences. Therefore, it could be interesting to many viewers.",30,TikTok,GPT4o
-17_20-48-53\TikTok14.jpeg20:57:19,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The image appears to show a person on a massage table or similar setup in what looks like a clinical or spa environment. This type of content might be interesting to viewers who are interested in health, wellness, or relaxation treatments.",30,TikTok,GPT4o
-17_20-48-53\TikTok15.jpeg20:57:54,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes. The image suggests an engaging and interactive TikTok video, likely involving a popular trend or challenge, as indicated by the text ""I've got 17"" and ""My result is..."". The viewer may find it interesting to see what the result is and how it compares to others.",30,TikTok,GPT4o
-17_20-48-53\TikTok16.jpeg20:58:00,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",No,"No.

The image appears to be an extreme close-up of a person's chin and neck area, which might not be considered visually engaging or interesting by many viewers. It lacks context or any evident subject matter that could capture attention.",0,TikTok,GPT4o
-17_20-48-53\TikTok17.jpeg20:58:34,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes.

The image features animated characters in a colorful beach setting, which indicates that the content could be engaging and fun, likely appealing to a younger audience or those who enjoy playful and creative digital environments.",30,TikTok,GPT4o
