Image Name,Prompt,User Interest,Stay Duration,Platform,Model Name
-18_23-40-06\TikTok1.jpeg23:40:25,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,5,TikTok,GPT4
-18_23-42-46\TikTok1.jpeg23:42:59,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,GPT4
-18_23-44-01\TikTok1.jpeg23:44:14,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,GPT4
-18_23-44-24\TikTok1.jpeg23:44:37,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,GPT4
-18_23-45-50\TikTok1.jpeg23:46:03,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,GPT4
-19_14-25-45\TikTok1.jpeg14:26:03,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,5,TikTok,GPT4
-19_14-25-45\TikTok2.jpeg14:26:08,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,GPT4
-19_14-25-45\TikTok3.jpeg14:26:16,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,5,TikTok,GPT4
-19_14-25-45\TikTok4.jpeg14:26:25,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,5,TikTok,GPT4
-19_14-25-45\TikTok5.jpeg14:26:33,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,5,TikTok,GPT4
