Image Name,Prompt,Answer,Reason,Stay Duration,Platform,Model Name
\Youtube1.jpeg23:25:04,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The content appears to be engaging as it features a light-hearted challenge or game (""say Coca-Cola without letting your lips touch""), which is typically popular on social media for its entertainment value and interactive nature.",30,Youtube,GPT4o
\Youtube2.jpeg23:25:41,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes.

This TikTok content seems interesting as it highlights family dynamics, specifically focusing on the roles of a middle child and an oldest child. Such relatable and often humorous themes tend to engage viewers who can see reflections of their own family experiences.",30,Youtube,GPT4o
\Youtube3.jpeg23:26:16,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes.

The content appears interesting because it features a question (""Which is your favorite?"") that engages the viewer. The image of a black skull with vibrant, colorful liquid flowing through it is visually striking and likely to capture attention due to its artistic and somewhat surreal nature.",30,Youtube,GPT4o
\Youtube4.jpeg23:26:21,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",No,"No.

The image depicts a logo for Google Ads, which implies that the video might be about digital advertising, specifically using Google Ads. Unless you are particularly interested in digital marketing or looking to learn about advertising platforms, this content might not be interesting to a general audience.",0,Youtube,GPT4o
\Youtube5.jpeg23:26:58,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes.

The image shows an interactive setup with three people engaged in what appears to be a game or challenge involving a board and currency notes. This kind of content often involves guessing games, strategy, or fun challenges, which can be entertaining and engaging to watch.",30,Youtube,GPT4o
\Youtube6.jpeg23:27:34,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes.

The image appears to be a visually engaging scene. A person is performing some action, possibly dancing or engaging in an activity that involves finesse or skill, indicated by the focused pose and the red light around their feet. The caption also hints at a narrative or theme with the line ""There once was a ship that put to sea,"" which can attract viewers who enjoy storytelling or musical content. The setting seems to be an urban area at night, adding to the visual appeal. Everyone is focused on the performer, suggesting that the content might be exciting or intriguing to watch.",30,Youtube,GPT4o
\Youtube7.jpeg23:28:09,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The content appears to be about trick shots, which can be very entertaining and impressive to watch. The text ""3 Months of Trick Shots"" suggests a compilation of various tricks that likely showcases skill and creativity, making it potentially engaging for viewers.",30,Youtube,GPT4o
\Youtube8.jpeg23:28:44,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The content in the image appears humorous and relatable, as it brings up a nostalgic and funny childhood memory about playing with Barbie and Ken dolls. This kind of content can be engaging and amusing to a wide audience.",30,Youtube,GPT4o
\Youtube9.jpeg23:29:18,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"This image portrays a person sitting comfortably in a well-furnished room, possibly working or engaging in an activity on a laptop. The setting and context suggest it might be related to productivity, remote work, or lifestyle, which could be interesting if you are interested in these topics.",30,Youtube,GPT4o
\Youtube10.jpeg23:29:23,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",No,"No.

Explanation: The image appears to show a hand with a tattoo and some screens in the background, likely in a classroom or lecture setting. The image itself doesn't provide much context or clear engaging content. It doesn’t seem particularly captivating or indicative of interesting content in this context.",0,Youtube,GPT4o
\Youtube11.jpeg23:29:58,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The image depicts a person engaging in an action that involves physical activity and skill, such as wall climbing or parkour. This type of content is generally dynamic and can be quite engaging and entertaining to watch.",30,Youtube,GPT4o
\Youtube12.jpeg23:30:33,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes. This image shows a baby who appears to be playing and possibly falling, which can be amusing and relatable content. The text at the bottom suggests a playful context, which might be engaging and entertaining to watch.",30,Youtube,GPT4o
\Youtube13.jpeg23:31:08,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. This content appears to address a common concern about hair regrowth, which could be interesting to many viewers looking for solutions or information on this topic.",30,Youtube,GPT4o
\Youtube14.jpeg23:31:43,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The image shows three individuals wearing colorful basketball jerseys and making energetic and expressive poses, which suggests that the content is lively and entertaining. This kind of vibrant and dynamic imagery often indicates engaging and fun content, typical of popular TikTok videos.",30,Youtube,GPT4o
\Youtube15.jpeg23:32:17,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. This image features a group of people with bicycles, suggesting an activity related to mountain biking or outdoor adventure, which can be engaging and exciting content, especially for those interested in these activities.",30,Youtube,GPT4o
\Youtube16.jpeg23:32:52,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The image seems to depict someone engaging with an interesting item (possibly food or a small object) labeled ""NOOB,"" which suggests it might be part of a humorous or entertaining skit or challenge. This could cater to a curious audience, making it engaging to watch.",30,Youtube,GPT4o
\Youtube17.jpeg23:33:27,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"This content appears to be related to humor or commentary about future generations, specifically ""Kids born in 2050."" Given the text and the involvement of a person holding a soccer ball, it suggests a comedic or satirical take on a trend or behavior that might apply to future kids. Such content is often engaging and entertaining, which makes it interesting to viewers.",30,Youtube,GPT4o
