Image Name,Prompt,Answer,Reason,Stay Duration,Platform,Model Name
17\instagram1.jpeg21:35:59,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The image appears to show a group of people around a car on a track or open road, possibly indicating some sort of car-related event or activity. This could be interesting for viewers who enjoy motorsports, street racing, or automotive content.",30,instagram,GPT4o
17\instagram2.jpeg21:36:03,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",No,"No.

The image shows a car window with an infinity symbol drawn on it. While it might be significant in some contexts, it doesn't appear particularly engaging or entertaining based solely on the visual content.",0,instagram,GPT4o
17\instagram3.jpeg21:36:38,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes.

The image suggests content about innovative and practical space-saving solutions, which can be interesting for anyone looking to optimize their living or working space. It shows a person interacting with a multifunctional piece of furniture, likely providing useful tips or ideas.",30,instagram,GPT4o
17\instagram4.jpeg21:37:13,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The image shows two individuals in an outdoor setting, which can indicate an engaging, real-life scenario, possibly involving a challenge, prank, or heartwarming moment. The dynamic pose and outdoor environment hint at active or emotionally engaging content that might hold viewer interest.",30,instagram,GPT4o
17\instagram5.jpeg21:37:19,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",No,"No. 

The image depicts two individuals standing on a pathway, with one of them stepping on a mat with food items placed on it. The scene does not appear particularly engaging or interesting based on this context alone. Interpreting whether content is interesting can vary greatly depending on personal preferences, but this does not seem inherently captivating.",0,instagram,GPT4o
17\instagram6.jpeg21:37:54,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. 

The image depicts a couple in a seemingly affectionate pose, indicating that the content may be related to relationships, love, or some form of personal connection, which many people find interesting.",30,instagram,GPT4o
17\instagram7.jpeg21:38:29,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes, the image features artistic and stylish jewelry, which can be visually appealing and intriguing to many viewers on TikTok. The focus on a unique accessory, like the anklet with a colorful charm, suggests creativity and fashion, which are popular themes on the platform.",30,instagram,GPT4o
17\instagram8.jpeg21:39:04,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"This image shows a person at a ticket gate in what appears to be a subway or train station, suggesting the content is likely related to travel or daily commuting, which many might find interesting as it reflects real-life experiences and routines.",30,instagram,GPT4o
17\instagram9.jpeg21:39:08,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",No,No. The image depicts a person sitting by the roadside with buildings in the background. There doesn't appear to be any action or distinct elements to indicate exciting or interesting content.,0,instagram,GPT4o
17\instagram10.jpeg21:39:12,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",No,"No.

The image appears to be a blank or empty screen with no visible content, which likely means the content is not interesting.",0,instagram,GPT4o
17\instagram11.jpeg21:39:47,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes.

The image depicts a humorous scenario, with text implying a playful or funny conversation. This kind of content is often entertaining on TikTok due to its relatable and comedic nature.",30,instagram,GPT4o
17\instagram12.jpeg21:40:22,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. This image appears to display a lively and colorful scene, possibly from a dance performance or music video. The vibrant lighting, expressive dancers, and dynamic background suggest that the content is energetic and visually engaging, capturing the viewer's attention.",30,instagram,GPT4o
17\instagram13.jpeg21:40:59,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The image features a close-up of a person with the word ""सुनो"" (which means ""listen"" in Hindi) on it. This suggests that the content might be engaging and potentially involves a message or story worth listening to.",30,instagram,GPT4o
17\instagram14.jpeg21:41:33,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"The image shows a creatively arranged pair of roses against a clean, blue background. This visual simplicity and artistic presentation may capture viewers' attention and interest, making the content engaging.",30,instagram,GPT4o
17\instagram15.jpeg21:42:07,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The image you provided shows a list of verified TikTok accounts, suggesting that these are well-known or influential creators. Content from verified accounts typically attracts significant attention and can be of high quality or relevance, making it interesting to follow and explore.",30,instagram,GPT4o
17\instagram16.jpeg21:42:45,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes. The image appears to feature intricate henna designs on hands, which can signify cultural or special occasions. The lighting and outdoor setting add an artistic touch, making it visually appealing and potentially interesting to viewers who appreciate such content.",30,instagram,GPT4o
17\instagram17.jpeg21:43:21,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The content appears interesting as it showcases a delicious Lachha Pyaz Paratha, which is a layered onion flatbread, accompanied by a side of raita (yogurt-based condiment). This visually appealing food might attract viewers, especially those interested in cooking or trying new recipes.",30,instagram,GPT4o
17\instagram18.jpeg21:43:25,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",No,"No.

The image is very blurry and lacks clear details, making it difficult to determine the content or context. This lack of clarity can make the content seem uninteresting.",0,instagram,GPT4o
17\instagram19.jpeg21:44:01,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The image shows a person participating in an engaging physical activity, crossing large circular stepping stones over water. The text in Portuguese translates to ""We are capable of crossing alone, but it's good to have someone waiting for us on the other side,"" which adds a motivational and supportive message, making the content visually interesting and emotionally resonant.",30,instagram,GPT4o
17\instagram20.jpeg21:44:37,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes.

The text in the image says ""छोटे बच्चे का जादू देखो,"" which translates to ""Watch the magic of the little boy."" This suggests that the content involves a child performing a magic trick, which could be entertaining and interesting to watch.",30,instagram,GPT4o
17\instagram21.jpeg21:45:13,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes, the image depicts a Bitcoin theme, which suggests the content might be related to cryptocurrency, a popular and trending topic. Additionally, the person appears to be interacting with something hidden, possibly revealing new information or a surprise, which can pique curiosity.",30,instagram,GPT4o
17\instagram22.jpeg21:45:49,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"The image depicts a motivational concept where a person climbing a cliff (labeled ""Success"") is supported by another person holding a rope (labeled ""Support""). Below the climber, there are stages labeled ""Risk"" and ""Failure"". This illustration suggests that achieving success involves taking risks and facing failures, but with the support of others, the journey becomes more manageable. This type of content can be engaging and inspiring, making it likely interesting for viewers.",30,instagram,GPT4o
17\instagram23.jpeg21:46:01,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",No,"No.

The image appears to show a person riding a motorcycle very close to a car on a highway, which can be unsafe. The text, ""Hindi Mupa time 😴😴Anung feeling??"" which loosely translates to ""Not yet time. How's the feeling??"", suggests a potentially unremarkable or everyday scenario, which might not be particularly engaging or interesting.",0,instagram,GPT4o
17\instagram24.jpeg21:46:37,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes. The text in the image says, ""Jamais deixe que saibam qual o seu próximo passo,"" which means ""Never let them know your next move."" This intriguing message suggests an element of surprise or unpredictability. The visual appears to be a scene set in a natural environment, possibly hinting at an unexpected event or action that aligns with the message. Such a combination typically engages viewers, making the content interesting.",30,instagram,GPT4o
17\instagram25.jpeg21:47:12,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. 

The image depicts someone holding a block of instant noodles in front of a complex and intriguing contraption, likely a DIY or creative invention. This blend of food content and inventive setup is likely to captivate viewers' curiosity and interest.",30,instagram,GPT4o
17\instagram26.jpeg21:47:47,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes. The image features a person with a focused and intrigued expression, which can imply engaging or captivating content. The setting appears to be an event, which could add to its interest.",30,instagram,GPT4o
17\instagram27.jpeg21:48:23,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes. The content appears to involve a creative or culinary activity, given the cutting of a dough-like material and the presence of vibrant colors, candles, and what looks like herbs or spices. This combination suggests an engaging and visually appealing topic, potentially related to cooking or crafting.",30,instagram,GPT4o
17\instagram28.jpeg21:48:58,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes.

The image shows a humorous scene where an adult is on a swing attached to a tree, with the text in Hindi ""इसमें बेचारे पेड़ की क्या गलती है"" which translates to ""What is the fault of the poor tree in this?"" This suggests the content may be funny or entertaining.",30,instagram,GPT4o
17\instagram29.jpeg21:49:34,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The image captures a dynamic moment at the beach, suggesting an active, engaging, and likely entertaining video on TikTok. The emojis at the top indicate various reactions, hinting that the content might evoke a range of emotions or responses, which can be interesting for viewers.",30,instagram,GPT4o
17\instagram30.jpeg21:49:40,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",No,"The image is quite blurry and pixelated, making it difficult to discern the content or context clearly. This lack of visual clarity makes it hard to determine if the content is interesting or engaging.",0,instagram,GPT4o
17\instagram31.jpeg21:49:45,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",No,"No.

This image appears to be a simple love message with some basic graphics and text (""I LOVE YOU"" and ""I love you S""), and a hand gesture. It does not seem to contain any intriguing or unique content that might make it particularly interesting or engaging.",0,instagram,GPT4o
17\instagram32.jpeg21:50:20,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. This image appears to depict a DIY or home improvement project, possibly involving pouring something into a red corrugated material. The text suggests it's simple and cost-effective, which can typically be intriguing and useful content for many viewers interested in DIY projects.",30,instagram,GPT4o
17\instagram33.jpeg21:50:56,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes. The image is visually appealing with a person confidently walking in a trendy outfit, likely implying interesting or fashionable content which can appeal to a wide audience on TikTok.",30,instagram,GPT4o
17\instagram34.jpeg21:51:31,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes. The image depicts a vibrant scene with two people, suggesting a narrative or interaction that might be engaging. The bright colors and outdoor setting add to the visual appeal, which often captures viewers' attention on TikTok.",30,instagram,GPT4o
17\instagram35.jpeg21:52:06,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes, the image appears to be from a movie or music video with a dramatic and engaging aesthetic. The inclusion of emojis suggests that the content has an emotional or nostalgic appeal, which can be interesting to many viewers.",30,instagram,GPT4o
17\instagram36.jpeg21:52:42,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes. The image is an animated scene featuring two characters walking, which suggests it could be part of a storyline or series. The setting and characters can be visually appealing and potentially intriguing for fans of animation or storytelling content on TikTok.",30,instagram,GPT4o
17\instagram37.jpeg21:53:16,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes.

The image suggests an intriguing activity or trick involving three people and the use of large props, possibly stretchy or flexible fabric. The curiosity about what they are doing and how they are doing it makes the content appear interesting.",30,instagram,GPT4o
17\instagram38.jpeg21:53:51,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes.

This image shows a tutorial about an easy samosa folding method, which can be interesting for those who enjoy cooking, especially if you are looking to learn how to make samosas. It appears to be a step-by-step guide that could be helpful and practical in the kitchen.",30,instagram,GPT4o
17\instagram39.jpeg21:54:27,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The picture shows an adorable child, which can evoke emotional responses and interest viewers. This kind of content often resonates with a wide audience because it is heartwarming and relatable.",30,instagram,GPT4o
17\instagram40.jpeg21:55:03,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes. The image appears to show someone unboxing or assembling a product, which often captures viewers' interest due to the element of surprise and the process involved. Unboxing videos are typically engaging as they reveal new products and demonstrate their features.",30,instagram,GPT4o
17\instagram41.jpeg21:55:38,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes, the content is interesting because it features a wildlife scene, which can be engaging and captivating. The quote ""Life starts where fear ends"" adds a motivational and philosophical element that may resonate with the audience and provoke thought. The combination of intriguing visuals and an inspiring message makes the content appealing.",30,instagram,GPT4o
17\instagram42.jpeg21:56:13,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. 

The image appears romantic and scenic, showing a couple holding hands with a caption in Hindi. This suggests it may be a post about love, relationships, or travel, likely appealing to those interested in such themes. The picturesque beach background adds an aesthetic and visually appealing element.",30,instagram,GPT4o
17\instagram43.jpeg21:56:49,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes. The image shows a scene with two people walking together at night, possibly in an urban setting with bright lights and shops visible in the background. The individuals seem engaged in conversation, with one looking at a phone, which suggests a potential narrative or story. This context could be intriguing, making the content worth exploring.",30,instagram,GPT4o
17\instagram44.jpeg21:57:25,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes.

The image appears to show an inspiring scene with water flowing through a constructed channel, which might indicate a message of perseverance or overcoming obstacles. The text, written in Portuguese, translates to ""Just because many can't, does not mean you can't..."" This suggests an uplifting and motivational theme, likely designed to encourage viewers.",30,instagram,GPT4o
17\instagram45.jpeg21:57:31,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",No,"No. This image appears to be of a neatly made bed with someone adjusting the bedspread or taking something out from under the bed. There is a cup and a sandwich placed on the bed, and a stuffed panda is visible in the background. Based on this image alone, it doesn't seem particularly interesting or engaging unless you have a specific interest in room decor or cleaning tips.",0,instagram,GPT4o
17\instagram46.jpeg21:58:08,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"The image shows two young children dressed in colorful, traditional attire, possibly participating in a cultural or festive event. This scene is visually appealing and heartwarming, which suggests that the content is likely to be interesting and engaging.",30,instagram,GPT4o
17\instagram47.jpeg21:58:43,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes.,"Yes. The image depicts a humorous situation where a woman, labeled with ""Ninja Technique 😂,"" is holding a broom while a man seems engrossed in his phone, suggesting a comedic or clever prank. This kind of content is often entertaining and humorous, engaging viewers with funny or relatable scenarios.",30,instagram,GPT4o
17\instagram48.jpeg21:58:48,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",No,"No.

The image contains a sad message about love and heartbreak, accompanied by a picture of a bird and some sad emojis. It might not be interesting unless you are looking for content related to emotions or love.",0,instagram,GPT4o
17\instagram49.jpeg21:58:53,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",No,"No.

This image appears to depict someone holding or tying a tie. Unless you are specifically interested in fashion, formalwear, or learning how to tie a tie, this content may not be particularly interesting.",0,instagram,GPT4o
17\instagram50.jpeg21:59:29,"I am scrolling on tiktok and saw this picture. Baed on the image, is this content interesting? Help me decide. Please include yes or no in your answer, just respond in one word.Explain briefly",Yes,"Yes. The image depicts a craft or DIY project involving a red lantern, which appears to be made from an innovative use of materials. This kind of content is often engaging due to its creative and instructive nature, making it interesting to watch on TikTok.",30,instagram,GPT4o
